,Doc01,Doc02,Doc03,Doc04,Doc05,Doc06,Doc07,Doc08,Doc09,Doc10,Doc11,Doc12,Doc13,Doc14,Doc15,Doc16,Doc17,Doc18,Doc19,Doc20
Doc01,1.0,0.18257418583505536,0.18257418583505536,0.4472135954999579,0.2581988897471611,0.0,0.0,0.0,0.0,0.3651483716701107,0.5070925528371099,0.0,0.14907119849998599,0.28284271247461895,0.22360679774997896,0.0,0.0,0.3162277660168379,0.0,0.0
Doc02,0.18257418583505536,1.0,0.3333333333333333,0.2041241452319315,0.23570226039551584,0.18257418583505536,0.0,0.0,0.0,0.3333333333333333,0.3086066999241839,0.18257418583505536,0.5443310539518174,0.12909944487358055,0.2041241452319315,0.0,0.0,0.0,0.0,0.0
Doc03,0.18257418583505536,0.3333333333333333,1.0,0.2041241452319315,0.23570226039551584,0.18257418583505536,0.0,0.0,0.0,0.16666666666666666,0.15430334996209194,0.0,0.13608276348795434,0.0,0.0,0.0,0.2041241452319315,0.0,0.0,0.0
Doc04,0.4472135954999579,0.2041241452319315,0.2041241452319315,1.0,0.5773502691896257,0.0,0.2041241452319315,0.25,0.0,0.2041241452319315,0.37796447300922725,0.22360679774997896,0.16666666666666666,0.4743416490252569,0.25,0.25,0.0,0.35355339059327373,0.0,0.0
Doc05,0.2581988897471611,0.23570226039551584,0.23570226039551584,0.5773502691896257,1.0,0.2581988897471611,0.23570226039551584,0.5773502691896257,0.0,0.23570226039551584,0.4364357804719848,0.2581988897471611,0.3849001794597505,0.18257418583505536,0.28867513459481287,0.28867513459481287,0.28867513459481287,0.0,0.0,0.0
Doc06,0.0,0.18257418583505536,0.18257418583505536,0.0,0.2581988897471611,1.0,0.18257418583505536,0.4472135954999579,0.0,0.18257418583505536,0.1690308509457033,0.0,0.29814239699997197,0.0,0.22360679774997896,0.0,0.22360679774997896,0.0,0.0,0.0
Doc07,0.0,0.0,0.0,0.2041241452319315,0.23570226039551584,0.18257418583505536,1.0,0.6123724356957945,0.0,0.0,0.0,0.18257418583505536,0.2721655269759087,0.12909944487358055,0.0,0.2041241452319315,0.0,0.0,0.0,0.0
Doc08,0.0,0.0,0.0,0.25,0.5773502691896257,0.4472135954999579,0.6123724356957945,1.0,0.0,0.0,0.18898223650461363,0.22360679774997896,0.3333333333333333,0.15811388300841897,0.25,0.25,0.25,0.0,0.0,0.0
Doc09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.3086066999241839,0.0,0.0,0.25819888974716115,0.0,0.0,0.0,0.0,0.0,0.0
Doc10,0.3651483716701107,0.3333333333333333,0.16666666666666666,0.2041241452319315,0.23570226039551584,0.18257418583505536,0.0,0.0,0.0,1.0,0.3086066999241839,0.18257418583505536,0.2721655269759087,0.12909944487358055,0.2041241452319315,0.0,0.0,0.0,0.0,0.0
Doc11,0.5070925528371099,0.3086066999241839,0.15430334996209194,0.37796447300922725,0.4364357804719848,0.1690308509457033,0.0,0.18898223650461363,0.3086066999241839,0.3086066999241839,1.0000000000000002,0.3380617018914066,0.37796447300922725,0.5976143046671968,0.5669467095138409,0.0,0.18898223650461363,0.26726124191242434,0.0,0.0
Doc12,0.0,0.18257418583505536,0.0,0.22360679774997896,0.2581988897471611,0.0,0.18257418583505536,0.22360679774997896,0.0,0.18257418583505536,0.3380617018914066,1.0,0.14907119849998599,0.42426406871192845,0.22360679774997896,0.22360679774997896,0.0,0.0,0.0,0.0
Doc13,0.14907119849998599,0.5443310539518174,0.13608276348795434,0.16666666666666666,0.3849001794597505,0.29814239699997197,0.2721655269759087,0.3333333333333333,0.0,0.2721655269759087,0.37796447300922725,0.14907119849998599,1.0,0.10540925533894596,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0
Doc14,0.28284271247461895,0.12909944487358055,0.0,0.4743416490252569,0.18257418583505536,0.0,0.12909944487358055,0.15811388300841897,0.25819888974716115,0.12909944487358055,0.5976143046671968,0.42426406871192845,0.10540925533894596,0.9999999999999998,0.4743416490252569,0.15811388300841897,0.0,0.4472135954999579,0.0,0.0
Doc15,0.22360679774997896,0.2041241452319315,0.0,0.25,0.28867513459481287,0.22360679774997896,0.0,0.25,0.0,0.2041241452319315,0.5669467095138409,0.22360679774997896,0.3333333333333333,0.4743416490252569,1.0,0.0,0.5,0.35355339059327373,0.0,0.0
Doc16,0.0,0.0,0.0,0.25,0.28867513459481287,0.0,0.2041241452319315,0.25,0.0,0.0,0.0,0.22360679774997896,0.0,0.15811388300841897,0.0,1.0,0.0,0.0,0.28867513459481287,0.0
Doc17,0.0,0.0,0.2041241452319315,0.0,0.28867513459481287,0.22360679774997896,0.0,0.25,0.0,0.0,0.18898223650461363,0.0,0.16666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.0
Doc18,0.3162277660168379,0.0,0.0,0.35355339059327373,0.0,0.0,0.0,0.0,0.0,0.0,0.26726124191242434,0.0,0.0,0.4472135954999579,0.35355339059327373,0.0,0.0,0.9999999999999998,0.0,0.0
Doc19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28867513459481287,0.0,0.0,1.0,0.0
Doc20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
